t,v
0,0.01
79,0.04
160,0.09
240,0.12
321,0.16
402,0.20
482,0.24
563,0.28
644,0.33
723,0.36
804,0.39
885,0.43
965,0.47
1046,0.51
1127,0.54
1207,0.58
1288,0.62
1369,0.66
1449,0.70
1529,0.72
1610,0.76
1691,0.79
1771,0.83
1852,0.86
1933,0.89
2013,0.93
2094,0.97
2174,1.00
2255,1.03
2335,1.07
2416,1.10
2497,1.13
2577,1.15
2658,1.19
2739,1.22
2819,1.26
2899,1.29
2980,1.31
3061,1.35
3141,1.38
3222,1.41
3303,1.43
3383,1.47
3464,1.49
3545,1.52
3625,1.54
3705,1.58
3786,1.60
3867,1.62
3947,1.65
4028,1.68
4109,1.72
4190,1.74
4270,1.76
4350,1.78
4431,1.81
4511,1.84
4592,1.87
4673,1.90
4754,1.93
4834,1.95
4915,1.97
4996,1.99
5075,2.03
5156,2.04
5237,2.08
5317,2.09
5398,2.11
5479,2.13
5560,2.16
5640,2.18
5721,2.20
5801,2.22
5881,2.25
5962,2.27
6043,2.30
6124,2.32
6204,2.33
6285,2.36
6366,2.37
6446,2.39
6526,2.41
6607,2.43
6688,2.46
6768,2.48
6849,2.50
6930,2.52
7010,2.54
7091,2.57
7172,2.59
7251,2.60
7332,2.62
7413,2.63
7494,2.66
7574,2.67
7655,2.70
7736,2.71
7816,2.73
7897,2.76
7977,2.76
8058,2.78
8138,2.80
8219,2.82
8300,2.84
8380,2.86
8461,2.86
8542,2.88
8623,2.90
8702,2.93
8783,2.93
8864,2.96
8944,2.97
9025,2.99
9106,3.00
9186,3.03
9267,3.03
9348,3.04
9428,3.06
9508,3.08
9589,3.10
9670,3.11
9750,3.12
9831,3.14
9912,3.16
9993,3.17
10073,3.18
10153,3.19
10234,3.21
10315,3.23
10395,3.25
10476,3.25
10557,3.27
10638,3.28
10718,3.29
10799,3.31
10880,3.32
10960,3.33
11040,3.34
11121,3.35
11202,3.38
11283,3.39
11363,3.40
11444,3.42
11525,3.43
11606,3.43
11685,3.44
11766,3.46
11847,3.48
11928,3.48
12008,3.50
12089,3.51
12170,3.52
12251,3.52
12331,3.54
12411,3.55
12492,3.56
12573,3.57
12653,3.59
12734,3.60
12815,3.61
12896,3.61
12976,3.63
13057,3.65
13137,3.65
13218,3.67
13298,3.68
13379,3.68
13460,3.69
13541,3.70
13621,3.70
13702,3.73
13783,3.74
13863,3.74
13943,3.75
14024,3.76
14105,3.78
14186,3.79
14266,3.79
14347,3.80
14428,3.81
14509,3.83
14589,3.83
14669,3.84
14750,3.84
14831,3.86
14912,3.87
14992,3.88
15073,3.88
15154,3.90
15235,3.90
15314,3.91
15395,3.92
15476,3.93
15557,3.94
15637,3.94
15718,3.95
15799,3.95
15880,3.96
15960,3.97
16040,3.98
16121,3.98
16202,4.00
16282,4.00
16363,4.01
16444,4.02
16525,4.02
16605,4.04
16686,4.05
16766,4.05
16847,4.06
16927,4.07
17008,4.08
17089,4.09
17170,4.09
17250,4.10
17331,4.09
17412,4.11
17492,4.12
17572,4.13
17653,4.12
17734,4.13
17815,4.14
17895,4.15
17976,4.14
18057,4.15
18138,4.17
18217,4.17
18298,4.17
18379,4.18
18460,4.19
18540,4.19
18621,4.21
18702,4.21
18783,4.20
18863,4.22
18944,4.23
19024,4.23
19105,4.24
19185,4.24
19266,4.25
19347,4.25
19428,4.27
19508,4.27
19589,4.27
19670,4.27
19750,4.29
19830,4.29
19911,4.29
19992,4.30
20073,4.30
20153,4.32
20234,4.33
20315,4.32
20396,4.32
20475,4.33
20556,4.33
20637,4.35
20718,4.34
20798,4.35
20879,4.35
20960,4.36
21041,4.37
21121,4.36
21201,4.38
21282,4.37
21363,4.38
21443,4.39
21524,4.39
21605,4.40
21686,4.40
21766,4.40
21847,4.42
21927,4.41
22008,4.42
22088,4.42
22169,4.44
22250,4.44
22331,4.43
22412,4.43
22492,4.44
22573,4.44
22653,4.45
22734,4.45
22814,4.46
22895,4.47
22976,4.47
23057,4.47
23137,4.49
23218,4.49
23299,4.48
23379,4.48
23459,4.49
23540,4.50
23621,4.50
23702,4.51
23782,4.51
23863,4.52
23944,4.52
24025,4.52
24104,4.52
24185,4.52
24266,4.53
24347,4.54
24427,4.53
24508,4.53
24589,4.53
24670,4.54
24750,4.54
24830,4.54
24911,4.56
24992,4.55
25072,4.57
25153,4.57
25234,4.57
25315,4.57
25395,4.57
25476,4.57
25556,4.57
25637,4.58
25717,4.59
25798,4.58
25879,4.59
25960,4.59
26040,4.59
26121,4.59
26202,4.60
26283,4.61
26362,4.61
26443,4.61
26524,4.61
26605,4.61
26685,4.62
26766,4.63
26847,4.63
26928,4.63
27008,4.62
27088,4.63
27169,4.63
27250,4.64
27330,4.64
27411,4.64
27492,4.64
27573,4.64
27653,4.64
27734,4.65
27814,4.65
27895,4.66
27976,4.66
28056,4.67
28137,4.66
28218,4.67
28299,4.68
28379,4.68
28460,4.67
28540,4.67
28621,4.68
28701,4.68
28782,4.69
28863,4.69
28944,4.69
29024,4.68
29105,4.69
29186,4.69
29266,4.70
29346,4.69
29427,4.70
29508,4.71
29589,4.71
29669,4.71
29750,4.71
29831,4.72
29912,4.71
29991,4.71
30072,4.72
