t,v
0,0.01
79,0.19
160,0.38
240,0.55
321,0.70
402,0.87
482,1.01
563,1.15
644,1.30
723,1.43
804,1.57
885,1.69
965,1.80
1046,1.93
1127,2.04
1207,2.14
1288,2.24
1369,2.34
1449,2.44
1529,2.53
1610,2.62
1691,2.70
1771,2.80
1852,2.87
1933,2.94
2014,3.02
2094,3.08
2174,3.16
2255,3.22
2335,3.28
2416,3.34
2497,3.40
2577,3.46
2658,3.52
2739,3.57
2820,3.62
2899,3.67
2980,3.70
3061,3.75
3141,3.80
3222,3.84
3303,3.88
3384,3.92
3464,3.95
3545,3.99
3625,4.02
3705,4.07
3786,4.10
3867,4.13
3948,4.15
4028,4.19
4109,4.21
4190,4.24
4270,4.27
4350,4.29
4431,4.32
4511,4.34
4592,4.35
4673,4.38
4754,4.39
4834,4.42
4915,4.43
4996,4.46
5075,4.48
5156,4.50
5237,4.51
5318,4.53
5398,4.55
5479,4.56
5560,4.57
5640,4.58
5721,4.61
5801,4.62
5882,4.63
5962,4.64
6043,4.64
6124,4.66
6204,4.67
6285,4.69
6366,4.69
6447,4.71
6526,4.71
6607,4.73
6688,4.74
6768,4.75
6849,4.75
6930,4.75
7010,4.76
7091,4.77
7172,4.78
7252,4.79
7332,4.78
7413,4.80
7494,4.80
7574,4.82
7655,4.81
7736,4.82
7817,4.82
7897,4.83
7977,4.84
8058,4.84
8138,4.84
8219,4.86
8300,4.84
8381,4.86
8461,4.86
8542,4.86
8623,4.87
8702,4.87
8783,4.87
8864,4.88
8944,4.89
9025,4.89
9106,4.90
9187,4.89
9267,4.89
9348,4.89
9428,4.90
9508,4.92
9589,4.91
9670,4.90
9751,4.92
9831,4.91
9912,4.91
9993,4.91
10073,4.92
10153,4.94
10234,4.92
10315,4.92
10395,4.92
10476,4.93
10557,4.94
10638,4.93
10718,4.93
10799,4.94
10880,4.94
10960,4.94
11040,4.94
11121,4.95
11202,4.94
11283,4.95
11363,4.94
11444,4.94
11525,4.95
11606,4.95
11686,4.96
11766,4.95
11847,4.94
11928,4.95
12009,4.95
12089,4.95
12170,4.97
12251,4.95
12332,4.95
12411,4.96
12492,4.96
12573,4.96
12654,4.96
12734,4.97
12815,4.95
12896,4.96
12977,4.97
13057,4.96
13137,4.98
13218,4.96
13299,4.95
13379,4.97
13460,4.97
13541,4.97
13622,4.97
13702,4.97
13783,4.96
13863,4.96
13944,4.98
14024,4.97
14105,4.98
14186,4.98
14267,4.97
14347,4.97
14428,4.97
14509,4.98
14589,4.97
14669,4.98
14750,4.97
14831,4.97
14912,4.98
14992,4.98
15073,4.98
15154,4.97
15235,4.98
15314,4.97
15395,4.99
15476,4.98
15557,4.97
15637,4.97
15718,4.98
15799,4.98
15880,4.98
15960,4.97
16040,4.99
16121,4.98
16202,4.98
16282,4.97
16363,4.97
16444,4.98
16525,4.97
16605,4.97
16686,4.98
16766,4.97
16847,4.98
16927,4.98
17008,4.97
17089,4.99
17170,4.98
17250,4.99
17331,4.97
17412,4.99
17492,4.98
17572,4.99
17653,4.97
17734,4.98
17815,4.97
17895,4.98
17976,4.97
18057,4.98
18138,4.98
18217,4.98
18298,4.98
18379,4.98
18460,4.97
18540,4.99
18621,4.98
18702,4.98
18783,4.97
18863,4.98
18944,4.98
19024,4.97
19105,4.98
19185,4.97
19266,4.99
19347,4.98
19428,4.98
19508,4.99
19589,4.99
19670,4.97
19750,4.98
19830,4.98
19911,4.99
19992,4.99
20073,4.98
20154,4.99
20234,4.99
20315,4.97
20396,4.98
20476,4.99
20556,4.98
20637,4.98
20718,4.99
20799,4.99
20879,4.98
20960,4.98
21041,4.99
21122,4.99
21201,4.98
21282,4.98
21363,4.98
21444,4.97
21524,4.98
21605,4.99
21686,4.99
21767,4.99
21847,4.99
21927,4.98
22008,4.99
22089,4.98
22169,4.98
22250,4.99
22331,4.98
22412,4.99
22492,4.99
22573,4.99
22653,4.98
22734,4.98
22814,4.97
22895,4.98
22976,4.99
23057,4.99
23137,4.98
23218,4.98
23299,4.99
23379,4.99
23459,4.99
23540,4.99
23621,4.99
23702,4.98
23782,4.98
23863,4.98
23944,4.99
24025,4.98
24104,4.98
24185,4.98
24266,4.98
24347,4.98
24427,4.99
24508,4.99
24589,4.98
24670,4.99
24750,4.97
24830,4.99
24911,4.99
24992,4.99
25072,4.99
25153,4.98
25234,4.98
25315,4.97
25395,4.98
25476,4.98
25556,4.98
25637,5.00
25717,4.99
25798,4.97
25879,4.98
25960,4.98
26040,4.99
26121,4.98
26202,4.99
26283,4.99
26362,4.99
26443,4.98
26524,4.98
26605,4.99
26685,4.99
26766,4.98
26847,4.99
26928,4.99
27008,4.98
27088,4.99
27169,4.99
27250,4.99
27330,4.98
27411,4.98
27492,4.98
27573,4.99
27653,4.98
27734,4.98
27814,4.98
27895,4.98
27975,4.98
28056,5.00
28137,4.99
28218,5.00
28298,4.98
28379,4.99
28460,4.98
28540,4.99
28620,4.99
28701,4.98
28782,4.98
28863,4.99
28943,4.99
29024,5.00
29105,4.99
29186,5.00
29265,4.98
29346,4.98
29427,4.99
29508,4.99
29588,5.00
29669,4.98
29750,4.98
29831,4.97
29912,4.99
29991,4.98
30072,4.99
