t,v
0,0.07
79,0.44
160,0.78
240,1.09
321,1.37
402,1.62
482,1.87
563,2.09
644,2.29
723,2.48
804,2.66
885,2.82
965,2.97
1046,3.10
1127,3.24
1207,3.35
1288,3.47
1369,3.57
1449,3.66
1529,3.74
1610,3.83
1691,3.91
1771,3.97
1852,4.05
1933,4.10
2014,4.15
2094,4.20
2174,4.25
2255,4.29
2335,4.34
2416,4.37
2497,4.40
2578,4.44
2658,4.47
2739,4.50
2820,4.52
2899,4.56
2980,4.57
3061,4.59
3142,4.60
3222,4.63
3303,4.65
3384,4.65
3464,4.67
3545,4.70
3625,4.70
3705,4.72
3786,4.72
3867,4.73
3948,4.74
4028,4.75
4109,4.75
4190,4.77
4270,4.78
4350,4.78
4431,4.79
4512,4.79
4592,4.78
4673,4.80
4754,4.81
4834,4.80
4915,4.80
4996,4.81
5076,4.80
5156,4.83
5237,4.83
5318,4.83
5398,4.83
5479,4.82
5560,4.82
5640,4.83
5721,4.83
5801,4.83
5882,4.85
5962,4.83
6043,4.83
6124,4.85
6204,4.84
6285,4.85
6366,4.84
6447,4.85
6526,4.85
6607,4.84
6688,4.84
6768,4.86
6849,4.84
6930,4.84
7011,4.84
7091,4.86
7172,4.85
7252,4.85
7332,4.86
7413,4.86
7494,4.86
7574,4.86
7655,4.86
7736,4.85
7817,4.86
7897,4.86
7977,4.85
8058,4.86
8138,4.86
8219,4.86
8300,4.87
8381,4.86
8461,4.85
8542,4.87
8623,4.85
8702,4.86
8783,4.86
8864,4.86
8945,4.86
9025,4.85
9106,4.87
9187,4.86
9267,4.87
9348,4.85
9428,4.86
9508,4.85
9589,4.86
9670,4.87
9751,4.86
9831,4.87
9912,4.86
9993,4.86
10073,4.87
